Fe-Si: 	 0.41138230139596027, 	 Fe-C: 	 0.1556137835289715 	 in ( Si-C)
Si-Fe: 	 0.361115857532246, 	 Si-C: 	 0.23998086690566753 	 in ( C-Fe)
C-Si: 	 0.32256260407355447, 	 C-Fe: 	 0.18360580888637368 	 in ( Si-Fe)
Fe-Si: 	 0.2481528692841371, 	 Fe-Si: 	 0.2481528692841371 	 in ( Si-Si)
Si-Fe: 	 0.0, 	 Si-Si: 	 1.0 	 in ( Si-Fe)
Si-Si: 	 1.0, 	 Si-Fe: 	 0.0 	 in ( Si-Fe)
Fe-Si: 	 0.41209318040793874, 	 Fe-C: 	 0.15568137194271114 	 in ( Si-C)
Si-Fe: 	 0.3616192307815769, 	 Si-C: 	 0.2403028261488099 	 in ( C-Fe)
C-Si: 	 0.32318229990592595, 	 C-Fe: 	 0.183730572966566 	 in ( Si-Fe)
Fe-Si: 	 0.24866517519547365, 	 Fe-Si: 	 0.24866517519547365 	 in ( Si-Si)
Si-Fe: 	 0.0, 	 Si-Si: 	 1.0 	 in ( Si-Fe)
Si-Si: 	 1.0, 	 Si-Fe: 	 0.0 	 in ( Si-Fe)
Fe-C: 	 0.26850622800031304, 	 Fe-C: 	 0.26850622800031304 	 in ( C-C)
C-Fe: 	 0.0, 	 C-C: 	 1.0 	 in ( C-Fe)
C-C: 	 1.0, 	 C-Fe: 	 0.0 	 in ( C-Fe)
Fe-C: 	 0.15568137194271114, 	 Fe-Si: 	 0.41209318040793874 	 in ( C-Si)
C-Fe: 	 0.183730572966566, 	 C-Si: 	 0.32318229990592595 	 in ( Si-Fe)
Si-C: 	 0.2403028261488099, 	 Si-Fe: 	 0.3616192307815769 	 in ( C-Fe)
Fe-Si: 	 0.41209318040793874, 	 Fe-C: 	 0.15568137194271114 	 in ( Si-C)
Si-Fe: 	 0.3616192307815769, 	 Si-C: 	 0.2403028261488099 	 in ( C-Fe)
C-Si: 	 0.32318229990592595, 	 C-Fe: 	 0.183730572966566 	 in ( Si-Fe)
Fe-Si: 	 0.24866517519547365, 	 Fe-Si: 	 0.24866517519547365 	 in ( Si-Si)
Si-Fe: 	 0.0, 	 Si-Si: 	 1.0 	 in ( Si-Fe)
Si-Si: 	 1.0, 	 Si-Fe: 	 0.0 	 in ( Si-Fe)
Fe-C: 	 0.26850622800031304, 	 Fe-C: 	 0.26850622800031304 	 in ( C-C)
C-Fe: 	 0.0, 	 C-C: 	 1.0 	 in ( C-Fe)
C-C: 	 1.0, 	 C-Fe: 	 0.0 	 in ( C-Fe)
Fe-C: 	 0.15568137194271114, 	 Fe-Si: 	 0.41209318040793874 	 in ( C-Si)
C-Fe: 	 0.183730572966566, 	 C-Si: 	 0.32318229990592595 	 in ( Si-Fe)
Si-C: 	 0.2403028261488099, 	 Si-Fe: 	 0.3616192307815769 	 in ( C-Fe)
Fe-Si: 	 0.41209318040793874, 	 Fe-C: 	 0.15568137194271114 	 in ( Si-C)
Si-Fe: 	 0.3616192307815769, 	 Si-C: 	 0.2403028261488099 	 in ( C-Fe)
C-Si: 	 0.32318229990592595, 	 C-Fe: 	 0.183730572966566 	 in ( Si-Fe)
Fe-Si: 	 0.24866517519547365, 	 Fe-Si: 	 0.24866517519547365 	 in ( Si-Si)
Si-Fe: 	 0.0, 	 Si-Si: 	 1.0 	 in ( Si-Fe)
Si-Si: 	 1.0, 	 Si-Fe: 	 0.0 	 in ( Si-Fe)
Fe-Si: 	 0.41280420914145993, 	 Fe-C: 	 0.15574833772609872 	 in ( Si-C)
Si-Fe: 	 0.3621249457170697, 	 Si-C: 	 0.24061967528457967 	 in ( C-Fe)
C-Si: 	 0.32379677283000763, 	 C-Fe: 	 0.18385655826669597 	 in ( Si-Fe)
Fe-Si: 	 0.24917729382121048, 	 Fe-Si: 	 0.24917729382121048 	 in ( Si-Si)
Si-Fe: 	 0.0, 	 Si-Si: 	 1.0 	 in ( Si-Fe)
Si-Si: 	 1.0, 	 Si-Fe: 	 0.0 	 in ( Si-Fe)
Fe-C: 	 0.26879227852633253, 	 Fe-C: 	 0.26879227852633253 	 in ( C-C)
C-Fe: 	 0.0, 	 C-C: 	 1.0 	 in ( C-Fe)
C-C: 	 1.0, 	 C-Fe: 	 0.0 	 in ( C-Fe)
Fe-C: 	 0.15574833772609872, 	 Fe-Si: 	 0.41280420914145993 	 in ( C-Si)
C-Fe: 	 0.18385655826669597, 	 C-Si: 	 0.32379677283000763 	 in ( Si-Fe)
Si-C: 	 0.24061967528457967, 	 Si-Fe: 	 0.3621249457170697 	 in ( C-Fe)
Fe-Si: 	 0.41280420914145993, 	 Fe-C: 	 0.15574833772609872 	 in ( Si-C)
Si-Fe: 	 0.3621249457170697, 	 Si-C: 	 0.24061967528457967 	 in ( C-Fe)
C-Si: 	 0.32379677283000763, 	 C-Fe: 	 0.18385655826669597 	 in ( Si-Fe)
Fe-Si: 	 0.24917729382121048, 	 Fe-Si: 	 0.24917729382121048 	 in ( Si-Si)
Si-Fe: 	 0.0, 	 Si-Si: 	 1.0 	 in ( Si-Fe)
Si-Si: 	 1.0, 	 Si-Fe: 	 0.0 	 in ( Si-Fe)
Fe-C: 	 0.26879227852633253, 	 Fe-C: 	 0.26879227852633253 	 in ( C-C)
C-Fe: 	 0.0, 	 C-C: 	 1.0 	 in ( C-Fe)
C-C: 	 1.0, 	 C-Fe: 	 0.0 	 in ( C-Fe)
Fe-C: 	 0.15574833772609872, 	 Fe-Si: 	 0.41280420914145993 	 in ( C-Si)
C-Fe: 	 0.18385655826669597, 	 C-Si: 	 0.32379677283000763 	 in ( Si-Fe)
